fips	hrs
1015	51.91
1067	55.61
1121	36.83
1129	53.42
2013	51.37
2090	50
4003	39.09
4013	42.79
5009	28.95
6001	50
6013	50
6019	45.55
6029	53.36
6037	50
6045	44.73
6047	37.93
6053	42.24
6059	37.43
6065	50.5
6067	54.63
6071	50
6073	33.79
6083	30
6085	44.46
6107	34.21
6111	51.94
6113	35.04
8001	35.13
8013	50.56
8019	51.39
8031	37.93
8031	44.11
8037	47.19
8059	42.93
8065	55.84
9005	38.05
9007	33.94
9009	46.77
9015	46.29
10001	52.15
10003	69.92
12001	36.69
12009	35.57
12011	50
12031	46.18
12033	58.41
12057	50
12085	45.92
12086	42.47
12095	50
13095	30.08
13127	54.49
13205	50
13233	35.6
13245	50
15003	50
16023	51.91
16077	57.8
16079	54.76
17001	34.21
17007	28.62
17011	70.71
17021	28.95
17035	55.49
17043	35.57
17091	42.04
17095	34.78
17097	34.68
17101	56.67
17135	30
17135	50
17141	33.93
17183	50
17197	39.44
17201	52.08
18003	42.47
18005	45.31
18011	46.44
18039	42.31
18067	31.85
18089	34.98
18091	58.91
18105	32.55
18141	42.24
18167	50
19101	38.05
19113	42.24
19153	42.28
20021	58.15
20061	33.79
20091	50
20173	50
20193	50
21059	29.12
21093	44.77
21111	34.62
21141	34.21
21149	52.73
21157	33.29
21183	43.84
22063	50.7
22071	50
22103	29.78
23005	43.38
23009	50
23019	70.71
23029	50
24003	51.44
24017	50
24021	49.52
24025	53.57
24033	50.15
24043	50
25005	56.6
25009	40.74
25017	72.42
25023	39.89
25027	44.8
26021	37.27
26025	33.79
26033	30.16
26035	38.43
26049	38.64
26057	0
26065	42.24
26067	57.99
26069	37.29
26077	36.41
26081	50.31
26089	35.53
26099	49.09
26121	53.42
26125	49.54
26159	30.59
27003	65.5
27035	46.77
27037	45.91
27053	36.28
27137	43.75
27163	35.62
28073	48.57
28159	62.2
29047	50
29069	28.59
29077	40.6
29093	56.67
29095	29.85
29187	84.91
29189	0
30013	50
30023	58.71
30031	38.29
30043	61.15
30049	61.65
30061	51.33
31001	50
31023	50
31079	51.13
31141	28.9
32019	39.07
33007	30.54
33011	35.39
33015	70.71
33017	36.98
34001	55.79
34003	42.49
34005	50.19
34007	68.53
34011	30.3
34013	58.3
34015	72.66
34017	30
34019	50
34023	69.73
34025	59.16
34027	46.13
34029	58.13
34035	58.12
34035	50
34037	28.91
34039	47.13
35001	50
35006	50
35013	50
35027	38.93
35053	50
36007	35.57
36011	50
36015	46.67
36025	48.54
36027	50
36037	37.27
36039	33.61
36043	50
36045	49
36059	41.6
36063	51.62
36065	34.2
36071	50
36073	50
36075	36.5
36079	37.93
36089	40.71
36091	58.21
36103	54.27
36105	32.11
36111	50.27
36115	54.66
37013	40.39
37021	38.67
37025	37.93
37045	48.98
37049	70.71
37051	34.09
37051	33.76
37087	70.71
37089	70.71
37097	37.93
37125	52.7
37133	33.13
37145	50
37153	47.1
39007	44.95
39013	35.1
39017	0
39059	39.42
39061	57.56
39087	47.05
39087	34.56
39109	50
39113	50
39153	50
40019	30
40087	51.01
40119	29.34
41019	50
41037	50
41051	48
42001	48.27
42003	50
42005	28.72
42011	55.18
42013	41.08
42015	34.79
42017	50
42027	45.09
42029	50
42035	38.52
42045	38.34
42071	28.98
42077	50.23
42079	49.51
42081	42.24
42089	32
42091	50
42095	51.91
42101	50.2
42107	31.02
42115	33.74
42133	41.01
44007	70.71
44009	34.52
45005	33.89
45019	32.25
45023	32.04
45025	50
45045	32.44
45065	50
45083	50
45083	31.45
46081	50
46093	33.62
47113	35.22
47157	39.03
47157	48.91
48029	50
48039	50
48057	50
48135	50
48183	49.1
48201	63.33
48215	50
48241	48
48339	48
48355	50
48357	50
48437	32.33
48439	39.92
49011	50
49023	50
49035	32.5
50003	52.58
50007	48.48
50017	50
50025	41.92
51003	53.17
51029	40.7
51041	46.44
51047	45.91
51085	33.71
51107	50
51143	30.16
51187	35.39
51193	37.15
51199	47.19
51700	50
51740	37.14
51800	70.71
53005	69.05
53011	1
53011	57.93
53033	34.6
53035	55.91
53041	37.65
53053	54.63
53063	57.8
53077	38.8
54049	48.57
54051	53.98
54057	50
54079	36.3
55003	50
55009	48.91
55025	36.84
55027	47.91
55035	35.57
55061	39.99
55089	46.86
55101	31.02
55127	28.9
56021	39.23
72041	50
72054	41.11
72057	35.34
72147	1
