fips	sites
1015	1
1067	1
1121	1
1129	1
2013	1
2090	4
4003	1
4013	1
5009	1
6001	1
6013	1
6019	2
6029	2
6037	2
6045	1
6047	1
6053	2
6059	1
6065	1
6067	1
6071	3
6073	1
6083	1
6085	7
6107	1
6111	1
6113	1
8001	1
8013	1
8019	1
8031	2
8037	1
8059	1
8065	1
9005	1
9007	1
9009	1
9015	1
10001	4
10003	6
12001	1
12009	1
12011	3
12031	2
12033	3
12057	3
12085	1
12086	4
12095	3
13127	2
13205	1
13233	1
13245	1
15003	1
16023	1
16077	1
16079	1
17001	1
17007	1
17011	1
17021	1
17035	1
17043	1
17091	1
17095	1
17097	1
17101	1
17135	2
17141	1
17183	1
17197	1
17201	2
18003	1
18005	1
18011	1
18039	2
18067	1
18089	1
18091	2
18105	1
18141	2
18167	1
19101	1
19113	1
19153	1
20021	1
20061	1
20091	2
20173	1
20193	1
21059	1
21093	1
21111	1
21141	1
21149	1
21157	2
21183	1
22063	2
22071	1
22103	1
23005	1
23009	1
23019	1
23029	1
24003	2
24017	1
24021	1
24025	3
24033	3
24043	1
25005	2
25009	2
25017	3
25021	2
25023	1
25027	2
26021	3
26025	1
26033	1
26035	1
26049	1
26057	1
26065	2
26067	1
26069	1
26077	2
26081	3
26089	1
26099	1
26121	2
26125	1
26159	1
27003	2
27035	1
27037	1
27053	1
27137	1
27163	1
28073	1
28159	1
29047	1
29069	1
29077	1
29093	1
29095	1
29187	1
29189	1
30013	2
30023	1
30031	1
30043	1
30049	1
30061	1
31001	2
31023	1
31079	2
31141	1
32019	1
33007	1
33011	1
33015	3
33017	1
34001	4
34003	2
34005	5
34007	1
34011	1
34013	2
34015	5
34017	1
34019	3
34023	9
34025	3
34027	4
34029	3
34035	5
34037	1
34039	1
35001	2
35006	2
35013	1
35027	1
35053	1
36007	2
36011	1
36015	1
36025	1
36027	2
36037	1
36039	1
36043	1
36045	1
36059	5
36063	3
36065	1
36071	2
36073	2
36075	1
36079	1
36089	1
36091	1
36103	4
36105	1
36111	2
36115	1
37013	1
37021	2
37025	1
37045	1
37049	1
37051	2
37071	1
37087	2
37089	1
37097	1
37125	3
37133	2
37145	1
37153	1
39007	2
39013	1
39017	1
39059	1
39061	1
39087	2
39109	1
39113	1
39153	1
40019	1
40087	1
40119	1
41019	1
41037	1
41051	1
42001	1
42003	1
42005	1
42011	6
42013	1
42015	1
42017	5
42027	1
42029	3
42035	1
42045	1
42071	1
42077	2
42079	2
42081	1
42089	1
42091	3
42091	1
42095	1
42101	1
42107	1
42115	1
42133	1
44007	3
44009	1
45005	1
45019	1
45023	1
45025	1
45045	1
45065	1
45083	2
46081	1
46093	1
47113	1
47157	2
48029	1
48039	1
48057	1
48135	1
48183	1
48201	4
48215	1
48241	1
48339	1
48355	1
48357	1
48437	1
48439	1
49011	3
49023	1
49035	1
50003	2
50007	1
50017	2
50025	1
51003	1
51029	1
51041	2
51047	1
51085	1
51107	1
51143	1
51187	1
51193	1
51199	1
51700	1
51740	2
51800	1
53005	3
53011	2
53033	1
53035	2
53041	3
53053	5
53063	2
53063	4
53077	1
54049	1
54051	1
54057	1
54079	1
55003	1
55009	1
55025	2
55027	1
55035	1
55061	1
55089	1
55101	1
55127	1
56021	1
72041	1
72054	1
72057	1
72147	1
