EPA_ID	NAME	ADDRESS	CITY	STATE	ZIP	COUNTY	FIPS	LONGITUDE	LATITUDE	NPL_STATUS	STATUSDATE	HRS_SCORE
AK4170024323	ADAK NAVAL AIR STATION	ADAK IS	ADAK	AK	99546	ALEUTIANS WEST CENSUS ARE	2013	-176.6525	51.8775	Final	5/31/1994	51.37
AK1570028646	EIELSON AIR FORCE BASE	HIGHWAY 2 - 16 MI SE OF FAIRBANKS	FAIRBANKS	AK	99702	FAIRBANKS NORTH STAR	2090	-147.0492	64.6714	Final	11/21/1989	48.14
AK8570028649	ELMENDORF AIR FORCE BASE	N BOUNDRY OF CITY LIMITS	ANCHORAGE	AK	99506	ANCHORAGE BOROUGH	2090	-149.7917	61.2541	Final	8/30/1990	45.91
AK6214522157	FORT RICHARDSON (USARMY)		ANCHORAGE	AK	99505	ANCHORAGE BOROUGH	2090	-149.7	61.2583	Final	5/31/1994	50
AK6210022426	FORT WAINWRIGHT	"RICHARDSON HWY, SE OF CY"	FORT WAINWRIGHT	AK	99703	FAIRBANKS NORTH STAR BORO	2090	-147.6106	64.823	Final	8/30/1990	42.4
AL6210020008	ALABAMA ARMY AMMUNITION PLANT	STATE HWY 235	CHILDERSBURG	AL	35044	TALLADEGA	1121	-86.3268	33.3381	Final	7/22/1987	36.83
ALD981868466	AMERICAN BRASS INC.	HIGHWAY 134 WEST	HEADLAND	AL	36345	HENRY	1067	-85.4041	31.325	Final	5/10/1999	55.61
AL3210020027	ANNISTON ARMY DEPOT (SOUTHEAST INDUSTRIAL AREA)	OFF AL HWY 202	ANNISTON	AL	36253	CALHOUN	1015	-85.9694	33.6594	Final	3/13/1989	51.91
ALD001221902	CIBA-GEIGY CORP. (MCINTOSH PLANT)	OFF HWY 43	MCINTOSH	AL	36553	WASHINGTON	1129	-87.9955	31.279	Final	9/21/1984	53.42
ARD084930148	"ARKWOOD, INC."	S. OF CITY @ CRICKETT RR JUNC.	OMAHA	AR	72662	BOONE	5009	-93.1964	36.445	Final	3/31/1989	28.95
AZD008399263	APACHE POWDER CO.	1436 S APACHE POWDER RD	SAINT DAVID	AZ	85630	COCHISE	4003	-110.24	31.88	Final	8/30/1990	39.09
AZD980735666	HASSAYAMPA LANDFILL	OLD WICKENBURG RD	HASSAYAMPA	AZ	85343	MARICOPA	4013	-112.7483	33.3683	Final	7/22/1987	42.79
AZD980695969	INDIAN BEND WASH AREA	MCDOWELL RD & HAYDEN	SCOTTSDALE	AZ	85253	MARICOPA	4013	-111.9083	33.4666	Final	9/8/1983	42.24
CAD048634059	"ADVANCED MICRO DEVICES, INC."	901 THOMPSON PL	SUNNYVALE	CA	94086	SANTA CLARA	6085	-122.0086	37.3825	Final	6/10/1986	37.93
CAT080034234	"ADVANCED MICRO DEVICES, INC. (BUILDING 915)"	915 DEGUIGNE	SUNNYVALE	CA	94086	SANTA CLARA	6085	-122.0066	37.3868	Final	8/30/1990	31.94
CAD980358832	AEROJET GENERAL CORP.	HWY US 50 & AEROJET RD	RANCHO CORDOVA	CA	95670	SACRAMENTO	6067	-121.2	38.6083	Final	9/8/1983	54.63
CA2170023236	ALAMEDA NAVAL AIR STATION	W END CITY OF ALAMEDA	ALAMEDA	CA	94501	ALAMEDA	6001	-122.33	37.7888	Final	7/22/1999	50
